trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,6,-29.200067134343126,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.99}",20,0,-91.46111624857477,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9801}",25,0,-130.9643923614824,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.970299}",20,0,-100.5004675715248,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.96059601}",30,0,-201.19423069001158,"{0: 20, 1: 2, 2: 2, 3: 2, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.9509900498999999}",20,13,-5.275637441092381,"{0: 4, 1: 3, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.941480149401}",20,0,-119.00284866335089,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9320653479069899}",30,0,-221.42634011516412,"{0: 14, 1: 6, 2: 3, 3: 5, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9227446944279201}",25,0,-106.71170727544153,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9135172474836408}",20,0,-93.74629308702906,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9043820750088044}",25,0,-146.6464950878392,"{0: 12, 1: 3, 2: 7, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8953382542587164}",20,0,-85.2774815127266,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8863848717161292}",20,0,-68.41859937610307,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8775210229989678}",25,0,-123.88137959704234,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8687458127689782}",25,0,-95.92108921684884,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8600583546412884}",20,0,-33.86672520125121,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.8514577710948755}",25,0,-126.84060474371014,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8429431933839268}",25,17,-52.377663362028585,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.8345137614500875}",25,0,-40.50391300772084,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8261686238355866}",30,0,-94.74341131775759,"{0: 19, 1: 2, 2: 7, 3: 2, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.8179069375972308}",35,0,-211.4678441919415,"{0: 23, 1: 0, 2: 6, 3: 3, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.8097278682212584}",20,13,-2.4593080885396787,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.8016305895390459}",30,7,-179.50057153012816,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 3}",1
24,False,"{'a': 0.5, 'e': 0.7936142836436554}",20,0,-65.76797289861551,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.7856781408072188}",20,2,-72.66740368750118,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.7778213593991467}",20,4,-100.77101766033977,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 2}",1
27,False,"{'a': 0.5, 'e': 0.7700431458051551}",25,0,-139.16677853795284,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.7623427143471035}",25,0,-20.123953597674937,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.7547192872036326}",30,0,-50.63080664306976,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.7471720943315961}",20,0,-118.7175979767821,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.7397003733882802}",20,0,-57.13810210037046,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.7323033696543975}",30,0,-107.00082433912024,"{0: 24, 1: 2, 2: 1, 3: 0, 4: 3}",0
33,False,"{'a': 0.5, 'e': 0.7249803359578534}",25,0,-66.76531216522127,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.7177305325982749}",20,0,-76.73806467387425,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.7105532272722921}",25,0,-155.5591865397394,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
36,False,"{'a': 0.5, 'e': 0.7034476949995692}",25,0,-25.639317277438124,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.6964132180495735}",20,0,-79.59998495076215,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.6894490858690777}",25,9,-1.1096310886904612,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.682554595010387}",20,8,-93.8615633223989,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 2}",1
