trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 1.0}",25,0,-160.02237367452307,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.05, 'e': 0.99}",20,0,-126.28508847783863,"{0: 11, 1: 0, 2: 4, 3: 5, 4: 0}",0
3,False,"{'a': 0.05, 'e': 0.9801}",30,0,-100.84181290109785,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.05, 'e': 0.970299}",20,0,-93.19632926873963,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.05, 'e': 0.96059601}",20,0,-72.14872212358497,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.05, 'e': 0.9509900498999999}",20,0,-147.97671875344653,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.05, 'e': 0.941480149401}",20,4,-112.297665336606,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 2}",1
8,False,"{'a': 0.05, 'e': 0.9320653479069899}",30,0,-208.9908479764485,"{0: 16, 1: 1, 2: 8, 3: 3, 4: 2}",0
9,False,"{'a': 0.05, 'e': 0.9227446944279201}",35,3,-165.5274320008235,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 3}",1
10,False,"{'a': 0.05, 'e': 0.9135172474836408}",25,0,-139.72493413317636,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
11,False,"{'a': 0.05, 'e': 0.9043820750088044}",30,0,-129.6352583930015,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
12,False,"{'a': 0.05, 'e': 0.8953382542587164}",30,14,-0.49353292762425927,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.05, 'e': 0.8863848717161292}",20,0,-42.14986293225257,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.05, 'e': 0.8775210229989678}",20,0,-132.1492029128674,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
15,False,"{'a': 0.05, 'e': 0.8687458127689782}",25,0,-75.95677260792507,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
16,False,"{'a': 0.05, 'e': 0.8600583546412884}",30,0,-34.895213625285685,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.05, 'e': 0.8514577710948755}",20,0,-52.311531224325556,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.05, 'e': 0.8429431933839268}",20,0,-69.72645778816418,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.05, 'e': 0.8345137614500875}",25,0,-42.380624275076656,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
20,False,"{'a': 0.05, 'e': 0.8261686238355866}",20,0,-110.30105576948672,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
21,False,"{'a': 0.05, 'e': 0.8179069375972308}",35,0,-77.90809443741077,"{0: 25, 1: 3, 2: 4, 3: 3, 4: 0}",0
