trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.08, 'e': 1.0}",25,0,-86.77599401389496,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",1
2,False,"{'a': 0.08, 'e': 0.999}",30,0,-162.81006373311135,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
3,False,"{'a': 0.08, 'e': 0.998001}",30,0,-191.77860948604825,"{0: 16, 1: 4, 2: 5, 3: 3, 4: 2}",0
4,False,"{'a': 0.08, 'e': 0.997002999}",20,2,-157.93922206001574,"{0: 7, 1: 4, 2: 3, 3: 2, 4: 2}",1
5,False,"{'a': 0.08, 'e': 0.996005996001}",30,0,-102.94457344391927,"{0: 18, 1: 5, 2: 5, 3: 2, 4: 0}",0
6,False,"{'a': 0.08, 'e': 0.995009990004999}",20,0,-69.22303361138454,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.08, 'e': 0.994014980014994}",25,0,-73.47875693348972,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.08, 'e': 0.993020965034979}",25,0,-171.8040451254093,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
9,False,"{'a': 0.08, 'e': 0.992027944069944}",20,0,-76.96795951839016,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.08, 'e': 0.991035916125874}",25,0,-48.18008919997446,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.08, 'e': 0.9900448802097482}",20,0,-158.41951858033107,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
12,False,"{'a': 0.08, 'e': 0.9890548353295384}",20,5,-46.11056470633354,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 0}",1
13,False,"{'a': 0.08, 'e': 0.9880657804942089}",25,0,-69.47796437431998,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
14,False,"{'a': 0.08, 'e': 0.9870777147137147}",20,0,-85.53846877490012,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.08, 'e': 0.986090636999001}",25,3,-82.4866936415221,"{0: 14, 1: 0, 2: 6, 3: 2, 4: 0}",1
16,False,"{'a': 0.08, 'e': 0.985104546362002}",35,0,-244.47894523312758,"{0: 18, 1: 5, 2: 7, 3: 2, 4: 3}",0
17,False,"{'a': 0.08, 'e': 0.9841194418156399}",30,0,-141.02019276327258,"{0: 18, 1: 4, 2: 4, 3: 3, 4: 1}",0
18,False,"{'a': 0.08, 'e': 0.9831353223738244}",35,16,-102.77364943398902,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 2}",1
19,False,"{'a': 0.08, 'e': 0.9821521870514505}",30,16,-49.292479189825855,"{0: 9, 1: 1, 2: 2, 3: 2, 4: 0}",1
20,False,"{'a': 0.08, 'e': 0.981170034864399}",20,0,-80.20283207679795,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
21,False,"{'a': 0.08, 'e': 0.9801888648295347}",20,0,-21.674883971894104,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
22,False,"{'a': 0.08, 'e': 0.9792086759647052}",20,0,-37.80095917366368,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
23,False,"{'a': 0.08, 'e': 0.9782294672887404}",20,0,-82.02148232143682,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
24,False,"{'a': 0.08, 'e': 0.9772512378214517}",20,9,-50.65560066127915,"{0: 5, 1: 2, 2: 3, 3: 1, 4: 0}",1
25,False,"{'a': 0.08, 'e': 0.9762739865836302}",20,0,-86.46554907141368,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
26,False,"{'a': 0.08, 'e': 0.9752977125970466}",20,0,-137.82754204055593,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
27,False,"{'a': 0.08, 'e': 0.9743224148844496}",20,0,-140.2903758109126,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
28,False,"{'a': 0.08, 'e': 0.9733480924695651}",20,0,-130.42272946923825,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
29,False,"{'a': 0.08, 'e': 0.9723747443770956}",20,0,-69.54165320927939,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
30,False,"{'a': 0.08, 'e': 0.9714023696327184}",20,0,-181.76634010483664,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
31,False,"{'a': 0.08, 'e': 0.9704309672630858}",25,0,-223.70433512383553,"{0: 12, 1: 0, 2: 8, 3: 2, 4: 3}",0
32,False,"{'a': 0.08, 'e': 0.9694605362958226}",30,0,-140.57812212847685,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
33,False,"{'a': 0.08, 'e': 0.9684910757595268}",20,3,-52.669955972596476,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 0}",1
34,False,"{'a': 0.08, 'e': 0.9675225846837673}",25,0,-127.91330893468802,"{0: 15, 1: 3, 2: 3, 3: 3, 4: 1}",0
35,False,"{'a': 0.08, 'e': 0.9665550620990835}",20,0,-102.59421678169865,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
36,False,"{'a': 0.08, 'e': 0.9655885070369844}",25,0,-137.75922797920126,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
37,False,"{'a': 0.08, 'e': 0.9646229185299474}",30,0,-84.09888819062866,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
38,False,"{'a': 0.08, 'e': 0.9636582956114175}",25,18,-11.135888408881371,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
39,False,"{'a': 0.08, 'e': 0.9626946373158061}",20,0,-127.67215869344125,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
40,False,"{'a': 0.08, 'e': 0.9617319426784903}",20,0,-144.17344408088036,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
41,False,"{'a': 0.08, 'e': 0.9607702107358118}",20,0,-152.55892472161688,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",1
42,False,"{'a': 0.08, 'e': 0.959809440525076}",30,0,-177.89476980848775,"{0: 16, 1: 3, 2: 6, 3: 4, 4: 1}",0
43,False,"{'a': 0.08, 'e': 0.9588496310845509}",20,0,-160.78578363152553,"{0: 8, 1: 2, 2: 8, 3: 0, 4: 2}",0
44,False,"{'a': 0.08, 'e': 0.9578907814534663}",30,0,-47.16952059377261,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
45,False,"{'a': 0.08, 'e': 0.9569328906720129}",30,0,-64.62119759814749,"{0: 20, 1: 4, 2: 5, 3: 1, 4: 0}",1
46,False,"{'a': 0.08, 'e': 0.9559759577813408}",20,0,-111.23506386057286,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
47,False,"{'a': 0.08, 'e': 0.9550199818235595}",20,0,-146.7837458616459,"{0: 8, 1: 2, 2: 8, 3: 1, 4: 1}",0
48,False,"{'a': 0.08, 'e': 0.954064961841736}",20,2,-77.74127125688887,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 2}",1
49,False,"{'a': 0.08, 'e': 0.9531108968798943}",35,0,-216.86997699652505,"{0: 19, 1: 8, 2: 4, 3: 0, 4: 4}",0
50,False,"{'a': 0.08, 'e': 0.9521577859830144}",35,0,-344.0052906773313,"{0: 15, 1: 2, 2: 9, 3: 5, 4: 4}",0
