trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 1.0}",20,0,-79.50498513893845,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.6, 'e': 0.993}",25,4,-55.349969580834326,"{0: 12, 1: 4, 2: 5, 3: 0, 4: 0}",1
3,False,"{'a': 0.6, 'e': 0.986049}",20,0,-133.15463330017445,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.6, 'e': 0.979146657}",30,0,-107.53075218231538,"{0: 17, 1: 5, 2: 6, 3: 2, 4: 0}",0
5,False,"{'a': 0.6, 'e': 0.972292630401}",25,0,-145.23431297558227,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
6,False,"{'a': 0.6, 'e': 0.9654865819881929}",20,0,-160.43427876251607,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
7,False,"{'a': 0.6, 'e': 0.9587281759142756}",30,0,-132.4410251924997,"{0: 22, 1: 1, 2: 3, 3: 2, 4: 2}",0
8,False,"{'a': 0.6, 'e': 0.9520170786828757}",20,0,-63.278534253514685,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.6, 'e': 0.9453529591320955}",30,0,-155.9809868447542,"{0: 18, 1: 1, 2: 9, 3: 0, 4: 2}",0
10,False,"{'a': 0.6, 'e': 0.9387354884181709}",30,0,-257.68015873753234,"{0: 11, 1: 5, 2: 10, 3: 1, 4: 3}",0
11,False,"{'a': 0.6, 'e': 0.9321643399992436}",30,0,-160.4183319103953,"{0: 19, 1: 3, 2: 3, 3: 3, 4: 2}",0
12,False,"{'a': 0.6, 'e': 0.925639189619249}",25,0,-83.6509701560911,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.6, 'e': 0.9191597152919142}",20,0,-75.02795275317929,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.6, 'e': 0.9127255972848708}",20,0,-97.61635232054927,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
15,False,"{'a': 0.6, 'e': 0.9063365181038767}",30,0,-111.23975310176444,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
16,False,"{'a': 0.6, 'e': 0.8999921624771495}",20,0,-66.66281515963308,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.6, 'e': 0.8936922173398095}",25,5,-109.16960946806633,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",1
18,False,"{'a': 0.6, 'e': 0.8874363718184308}",30,0,-122.78128552203016,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.6, 'e': 0.8812243172157018}",25,0,-230.85579773478207,"{0: 10, 1: 5, 2: 5, 3: 2, 4: 3}",0
20,False,"{'a': 0.6, 'e': 0.8750557469951918}",30,0,-214.13831377702945,"{0: 21, 1: 3, 2: 0, 3: 1, 4: 5}",0
21,False,"{'a': 0.6, 'e': 0.8689303567662255}",20,5,-76.42602762165806,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 1}",1
22,False,"{'a': 0.6, 'e': 0.862847844268862}",20,0,-164.12912644877514,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 3}",0
23,False,"{'a': 0.6, 'e': 0.8568079093589799}",25,2,-47.4096608441064,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 0}",1
24,False,"{'a': 0.6, 'e': 0.8508102539934671}",35,0,-261.914301540354,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 5}",0
25,False,"{'a': 0.6, 'e': 0.8448545822155128}",20,0,-55.75993113966287,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
26,False,"{'a': 0.6, 'e': 0.8389406001400042}",25,0,-139.94362251081608,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
27,False,"{'a': 0.6, 'e': 0.8330680159390241}",25,0,-125.2863806680619,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
28,False,"{'a': 0.6, 'e': 0.8272365398274509}",20,0,-175.3394708257747,"{0: 8, 1: 1, 2: 8, 3: 1, 4: 2}",0
29,False,"{'a': 0.6, 'e': 0.8214458840486588}",20,0,-95.53792657711656,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
30,False,"{'a': 0.6, 'e': 0.8156957628603182}",20,0,-6.84555114886884,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
31,False,"{'a': 0.6, 'e': 0.809985892520296}",30,0,-170.04897887796432,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
32,False,"{'a': 0.6, 'e': 0.8043159912726539}",30,18,7.406601412558619,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.6, 'e': 0.7986857793337453}",25,17,-4.864879474487397,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.6, 'e': 0.7930949788784091}",30,5,-163.26958661951755,"{0: 13, 1: 1, 2: 6, 3: 4, 4: 1}",1
35,False,"{'a': 0.6, 'e': 0.7875433140262602}",30,0,-159.05099330735624,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
36,False,"{'a': 0.6, 'e': 0.7820305108280764}",20,0,-44.03832687705026,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
37,False,"{'a': 0.6, 'e': 0.7765562972522798}",35,0,-118.92805298828917,"{0: 26, 1: 1, 2: 6, 3: 0, 4: 2}",0
38,False,"{'a': 0.6, 'e': 0.7711204031715139}",20,1,-52.17281666803472,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 1}",1
39,False,"{'a': 0.6, 'e': 0.7657225603493133}",30,0,-118.34145239736885,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
40,False,"{'a': 0.6, 'e': 0.7603625024268681}",25,0,-152.96032228266404,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
41,False,"{'a': 0.6, 'e': 0.75503996490988}",25,0,-46.061546661153336,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
42,False,"{'a': 0.6, 'e': 0.7497546851555108}",25,9,-2.188411005761022,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
43,False,"{'a': 0.6, 'e': 0.7445064023594222}",20,5,-66.19990669685413,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 1}",1
44,False,"{'a': 0.6, 'e': 0.7392948575429062}",25,0,-76.10197386932755,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
45,False,"{'a': 0.6, 'e': 0.7341197935401059}",20,0,-168.9359630366042,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
46,False,"{'a': 0.6, 'e': 0.7289809549853252}",30,0,-177.89679168398177,"{0: 17, 1: 4, 2: 4, 3: 3, 4: 2}",0
47,False,"{'a': 0.6, 'e': 0.7238780883004279}",30,23,-28.654660340773425,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
48,False,"{'a': 0.6, 'e': 0.718810941682325}",20,0,-84.44181064794505,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
49,False,"{'a': 0.6, 'e': 0.7137792650905487}",20,0,-41.2796102176861,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
50,False,"{'a': 0.6, 'e': 0.7087828102349149}",20,0,-108.72677573092702,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
51,False,"{'a': 0.6, 'e': 0.7038213305632703}",25,7,-33.33586675693417,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
52,False,"{'a': 0.6, 'e': 0.6988945812493275}",20,0,-95.31699976005795,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
53,False,"{'a': 0.6, 'e': 0.6940023191805822}",20,0,-69.95198970987639,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
54,False,"{'a': 0.6, 'e': 0.6891443029463181}",25,9,-55.483730959807865,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
55,False,"{'a': 0.6, 'e': 0.6843202928256938}",20,0,-3.7732611558375346,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
56,False,"{'a': 0.6, 'e': 0.679530050775914}",25,0,-136.82619375624273,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 3}",0
57,False,"{'a': 0.6, 'e': 0.6747733404204826}",20,0,-41.799341694448266,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
58,False,"{'a': 0.6, 'e': 0.6700499270375393}",20,3,-96.37837709909041,"{0: 8, 1: 2, 2: 6, 3: 0, 4: 1}",1
59,False,"{'a': 0.6, 'e': 0.6653595775482765}",25,0,-178.90016145632515,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 3}",0
60,False,"{'a': 0.6, 'e': 0.6607020605054386}",20,6,-87.40558263680691,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
61,False,"{'a': 0.6, 'e': 0.6560771460819005}",25,0,-77.21894390325967,"{0: 17, 1: 2, 2: 3, 3: 3, 4: 0}",0
62,False,"{'a': 0.6, 'e': 0.6514846060593271}",20,6,-77.0639392642194,"{0: 9, 1: 1, 2: 1, 3: 2, 4: 1}",1
63,False,"{'a': 0.6, 'e': 0.6469242138169119}",30,0,-140.26808485609678,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
64,False,"{'a': 0.6, 'e': 0.6423957443201934}",30,0,-128.08838226625102,"{0: 22, 1: 2, 2: 3, 3: 0, 4: 3}",0
65,False,"{'a': 0.6, 'e': 0.6378989741099521}",20,0,-4.514679173226683,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
66,False,"{'a': 0.6, 'e': 0.6334336812911824}",20,0,-50.585380020063944,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
67,False,"{'a': 0.6, 'e': 0.6289996455221442}",20,0,-86.3113089431079,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
68,False,"{'a': 0.6, 'e': 0.6245966480034891}",20,0,-83.71215390650245,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
69,False,"{'a': 0.6, 'e': 0.6202244714674647}",30,0,-111.53236986782592,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
70,False,"{'a': 0.6, 'e': 0.6158829001671925}",25,0,-92.01581862839473,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
71,False,"{'a': 0.6, 'e': 0.6115717198660221}",25,0,-58.12200092718526,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
72,False,"{'a': 0.6, 'e': 0.60729071782696}",25,0,-75.72581268549312,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
73,False,"{'a': 0.6, 'e': 0.6030396828021712}",25,19,-2.104597511318789,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.6, 'e': 0.598818405022556}",25,6,2.846752266138142,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
75,False,"{'a': 0.6, 'e': 0.5946266761873982}",20,5,-70.78200759354787,"{0: 11, 1: 0, 2: 1, 3: 2, 4: 1}",1
76,False,"{'a': 0.6, 'e': 0.5904642894540864}",20,0,-12.321968263644221,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
77,False,"{'a': 0.6, 'e': 0.5863310394279078}",30,0,-83.15697913713,"{0: 23, 1: 0, 2: 5, 3: 1, 4: 1}",0
78,False,"{'a': 0.6, 'e': 0.5822267221519124}",20,0,-109.4604371600343,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
