trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-160.93829225358357,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,12,-15.18356067029572,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-69.30485268969288,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-159.30719662235822,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,2,-152.6370316447826,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 3}",1
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-112.20166821220936,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-18.35495353708184,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,4,-63.88228367931865,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-181.14395885268672,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,8,-77.1879075469493,"{0: 8, 1: 0, 2: 1, 3: 2, 4: 1}",1
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.14983422054996,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.00782746582163,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-156.8779549309504,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.66738745608444,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,3,-57.75823528092809,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-61.73444737636332,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-53.97666322787064,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.70603636153888,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-27.7739921873511,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-160.3125158850274,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-99.56199338913953,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-136.94776798064072,"{0: 20, 1: 2, 2: 3, 3: 4, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-68.22970315790309,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-122.71178322383214,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-166.5498112466661,"{0: 9, 1: 0, 2: 8, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",35,0,-89.53021195923101,"{0: 27, 1: 0, 2: 6, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-78.92136280656682,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,4,-15.03209680924092,"{0: 15, 1: 4, 2: 2, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': 1.0}",25,14,-46.58270742969708,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-153.05409559967623,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
